node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
165,3.745216,1.837713,4.171790,0.548601,0.273170,0.080000,0.158875,0.140000,0.194094,0.060000,0.130046
166,3.701075,1.927444,4.172888,0.555154,0.277777,0.100000,0.167357,0.140000,0.204456,0.080000,0.136989
167,3.626850,1.994456,4.139069,0.603547,0.308746,0.100000,0.175866,0.140000,0.214852,0.080000,0.143955
168,3.528902,2.014609,4.063471,0.584633,0.296273,0.100000,0.170347,0.140000,0.208109,0.060000,0.139437
169,3.833369,-1.837007,4.250802,0.473490,0.229067,0.080000,0.137359,0.120000,0.167809,0.060000,0.112435
170,3.849056,-1.935769,4.308415,0.411634,0.193144,0.080000,0.120886,0.100000,0.147684,0.060000,0.098951
171,3.868836,-2.033794,4.370836,0.363065,0.165761,0.080000,0.106683,0.100000,0.130332,0.060000,0.087325
172,3.892847,-2.130868,4.437888,0.333622,0.149540,0.060000,0.097965,0.080000,0.119681,0.040000,0.080189
173,3.921227,-2.226757,4.509375,0.328357,0.146671,0.060000,0.096366,0.080000,0.117728,0.040000,0.078880
174,3.954116,-2.321193,4.585081,0.348182,0.157524,0.060000,0.102131,0.100000,0.124771,0.060000,0.083599
175,3.991654,-2.413881,4.664774,0.389036,0.180316,0.080000,0.114247,0.100000,0.139573,0.060000,0.093516
176,4.033976,-2.504483,4.748200,0.444885,0.212322,0.080000,0.131440,0.120000,0.160577,0.060000,0.107590
177,4.081215,-2.592622,4.835081,0.510422,0.250730,0.100000,0.153151,0.120000,0.187101,0.060000,0.125361
178,4.179979,-2.576948,4.910487,0.476236,0.230961,0.080000,0.139473,0.120000,0.170390,0.060000,0.114165
179,4.276375,-2.603553,5.006583,0.326934,0.237096,0.080000,0.142267,0.120000,0.173804,0.060000,0.116452
180,4.375614,-2.591245,5.085327,0.510841,0.249165,0.080000,0.155657,0.120000,0.189602,0.060000,0.127413
